ID de CHIP;ID de catálogo;ID de catálogo;CONFIGURATION;URL;ID de CHIP;ID de CHIP;LAYOUTDATA;ID of a Catalog;IS_READ_ONLY;Cronomarcador;
X-SAP-UI2-PAGE:/UI2/ZMA_TEST_PAGE:_CHIP_USAGE_1;/UI2/ZMA_TEST_PAGE;_CHIP_USAGE_1;C1;;X-SAP-UI2-CHIP:/UI2/GADGET_TIC_TAC_TOE;;L1;;;10/2/2012 13:47;
X-SAP-UI2-PAGE:/UI2/ZMA_TEST_PAGE_GERMAN:ANCCJXTS47H3EUFJPOM9SUDHM;/UI2/ZMA_TEST_PAGE_GERMAN;ANCCJXTS47H3EUFJPOM9SUDHM;;;X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:ZFI_BC_AP_GESTION:ANCCJXTS47H3EUFJJOGSK7VM2;;;;;11/8/2025 18:49;
X-SAP-UI2-PAGE:/UI2/ZMA_TEST_PAGE_GERMAN:Usage#1;/UI2/ZMA_TEST_PAGE_GERMAN;Usage#1;;;X-SAP-UI2-CHIP:/UI2/TEST_CHIP_0;;;;;21/8/2014 09:49;
X-SAP-UI2-PAGE:/UI2/ZMA_TEST_PAGE_GERMAN:Usage#2;/UI2/ZMA_TEST_PAGE_GERMAN;Usage#2;;;X-SAP-UI2-CHIP:/UI2/TEST_CHIP_0;;;;;21/8/2014 09:49;
X-SAP-UI2-PAGE:SAP_TRAVEL_BCG_BUSINESSTRAVELL:00O2TPJZK3OS1SEWANAN0U536;SAP_TRAVEL_BCG_BUSINESSTRAVELL;00O2TPJZK3OS1SEWANAN0U536;;;X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA:00O2TPJZK3OS1SEW6VTYWFEWM;;;;;12/6/2019 15:22;
X-SAP-UI2-PAGE:SAP_TRAVEL_BCG_BUSINESSTRAVELL:ET090MQ7F1QSFNP49D0A4KLAJ;SAP_TRAVEL_BCG_BUSINESSTRAVELL;ET090MQ7F1QSFNP49D0A4KLAJ;;;X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA:ET090MQ7F1QSFNP41UR69H85T;;;;;31/5/2019 14:28;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_FND_BC_MANAGER_T:00O2TPJX52A3DFBN6XHTIHLB6;X-SAP-UI2-CATALOGPAGE:SAP_FND_BC_MANAGER_T;00O2TPJX52A3DFBN6XHTIHLB6;;;X-SAP-UI2-CHIP:/UI2/DYNAMIC_APPLAUNCHER;X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_FND_TC_T:00O2TPJX52A3DFBMWGVF7CC7K;;;;25/5/2020 10:55;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_FND_BC_MANAGER_T:00O2TPJX52A3DFBN7PYW0SY7C;X-SAP-UI2-CATALOGPAGE:SAP_FND_BC_MANAGER_T;00O2TPJX52A3DFBN7PYW0SY7C;;;X-SAP-UI2-CHIP:/UI2/ACTION;X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_FND_TC_T:00O2TPJX52A3DFBMIG31689C9;;;;25/5/2020 10:55;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_FND_BC_MANAGER_T:6E9W9Y7PDOGO1DO8U1VPNLBGH;X-SAP-UI2-CATALOGPAGE:SAP_FND_BC_MANAGER_T;6E9W9Y7PDOGO1DO8U1VPNLBGH;"{""tileConfiguration"":""{\""semantic_object\"":\""BusinessProcess\"",\""semantic_action\"":\""manage\"",\""display_title_text\"":\""Process Inbox\"",\""url\"":\""/sap/bc/ui5_ui5/sap/HCMFAB_PRO_INB\"",\""ui5_component\"":\""hcm.fab.process.inbox\"",\""navigation_provider\"":\""SAPUI5\"",\""navigation_provider_role\"":\""\"",\""navigation_provider_instance\"":\""\"",\""target_application_id\"":\""\"",\""target_application_alias\"":\""\"",\""transaction\"":{\""code\"":\""\""},\""web_dynpro\"":{\""application\"":\""\"",\""configuration\"":\""\""},\""target_system_alias\"":\""\"",\""display_info_text\"":\""\"",\""mapping_signature\"":\""openMode=replaceDetails&*=*\"",\""signature\"":{\""parameters\"":{\""openMode\"":{\""required\"":true,\""filter\"":{\""value\"":\""replaceDetails\""}}},\""additional_parameters\"":\""allowed\""}}""}";;X-SAP-UI2-CHIP:/UI2/ACTION;;;;;19/6/2019 05:29;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA:00O2TPJZK3OS1SEW39337KMCY;X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA;00O2TPJZK3OS1SEW39337KMCY;"{""tileConfiguration"":""{\""semantic_object\"":\""EmployeeExpenseReport\"",\""semantic_action\"":\""create\"",\""navigation_provider\"":\""LPD\"",\""navigation_provider_role\"":\""UITRV001\"",\""navigation_provider_instance\"":\""TRANSACTIONAL\"",\""target_application_alias\"":\""myTravelAndExpenses\"",\""display_info_text\"":\""\"",\""mapping_signature\"":\""*=*\""}""}";;X-SAP-UI2-CHIP:/UI2/ACTION;;;;;12/6/2019 15:21;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA:00O2TPJZK3OS1SEW6VTYWFEWM;X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA;00O2TPJZK3OS1SEW6VTYWFEWM;"{""tileConfiguration"":""{\""display_icon_url\"":\""sap-icon://Fiori2/F0410\"",\""display_number_unit\"":\""\"",\""service_url\"":\""/sap/opu/odata/sap/PAOC_TRV_SRV/TravelSummaries/$count?$filter=Status%20eq%201\"",\""service_refresh_interval\"":0,\""navigation_use_semantic_object\"":true,\""navigation_target_url\"":\""#EmployeeExpenseReport-create\"",\""navigation_semantic_object\"":\""EmployeeExpenseReport\"",\""navigation_semantic_action\"":\""create\"",\""navigation_semantic_parameters\"":\""\"",\""display_search_keywords\"":\""Expense Report, Travel\""}""}";;X-SAP-UI2-CHIP:/UI2/DYNAMIC_APPLAUNCHER;;;;;12/6/2019 15:21;
X-SAP-UI2-PAGE:X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA:ET090MQ7F1QSFNP41UR69H85T;X-SAP-UI2-CATALOGPAGE:SAP_TRAVEL_BC_BUSINESSTRA;ET090MQ7F1QSFNP41UR69H85T;"{""tileConfiguration"":""{\""display_icon_url\"":\""sap-icon://Fiori2/F0410\"",\""display_number_unit\"":\""\"",\""service_url\"":\""/sap/opu/odata/sap/TRV_MTE_SRV/TravelExpenses/$count?$filter=Status%20eq%201\"",\""service_refresh_interval\"":0,\""navigation_use_semantic_object\"":true,\""navigation_target_url\"":\""#EmployeeExpenseReport-manage\"",\""navigation_semantic_object\"":\""EmployeeExpenseReport\"",\""navigation_semantic_action\"":\""manage\"",\""navigation_semantic_parameters\"":\""\"",\""display_search_keywords\"":\""Expense Report, Travel\""}""}";;X-SAP-UI2-CHIP:/UI2/DYNAMIC_APPLAUNCHER;;;;;31/5/2019 14:29;My Travel and Expenses V2
